id,keiei-pos,keiei-neu,keiei-neg,risk-pos,risk-neu,risk-neg,money-pos,money-neu,money-neg,contract-pos,contract-neu,contract-neg,reserch-pos,reserch-neu,reserch-neg
64,0.08,0.91,0.01,0.03,0.97,0.0,0.05,0.93,0.02,0.21,0.67,0.12,0.04,0.95,0.01
65,0.01,0.99,0.0,0.03,0.97,0.0,0.01,0.99,0.0,0.01,0.99,0.0,0.05,0.94,0.01
66,0.07,0.92,0.01,0.06,0.93,0.01,0.08,0.89,0.03,0.2,0.71,0.09,0.03,0.97,0.0
67,0.04,0.95,0.01,0.02,0.98,0.0,0.03,0.96,0.01,0.2,0.71,0.09,0.02,0.98,0.0
68,0.02,0.98,0.0,0.02,0.98,0.0,0.04,0.95,0.01,0.0,1.0,0.0,0.08,0.91,0.01
69,0.08,0.91,0.01,0.04,0.95,0.01,0.04,0.95,0.01,0.01,0.97,0.02,0.04,0.95,0.01
70,0.04,0.94,0.02,0.05,0.94,0.01,0.04,0.95,0.01,0.01,0.99,0.0,0.05,0.93,0.02
71,0.08,0.89,0.03,0.04,0.95,0.01,0.07,0.91,0.02,0.05,0.94,0.01,0.03,0.95,0.02
72,0.06,0.93,0.01,0.04,0.95,0.01,0.01,0.99,0.0,0.0,1.0,0.0,0.04,0.95,0.01
73,0.05,0.94,0.01,0.05,0.95,0.0,0.03,0.96,0.01,0.05,0.94,0.01,0.04,0.95,0.01
74,0.02,0.96,0.02,0.06,0.93,0.01,0.06,0.92,0.02,0.01,0.99,0.0,0.07,0.92,0.01
75,0.05,0.94,0.01,0.06,0.94,0.0,0.03,0.97,0.0,0.01,0.99,0.0,0.05,0.88,0.07
76,0.07,0.92,0.01,0.06,0.94,0.0,0.04,0.95,0.01,0.2,0.71,0.09,0.06,0.93,0.01
77,0.03,0.97,0.0,0.03,0.97,0.0,0.01,0.99,0.0,0.0,1.0,0.0,0.07,0.92,0.01
78,0.06,0.92,0.02,0.06,0.93,0.01,0.06,0.93,0.01,0.04,0.95,0.01,0.04,0.96,0.0
79,0.04,0.96,0.0,0.05,0.94,0.01,0.05,0.94,0.01,0.0,1.0,0.0,0.01,0.97,0.02
80,0.03,0.96,0.01,0.03,0.97,0.0,0.02,0.98,0.0,0.11,0.88,0.01,0.21,0.67,0.12
81,0.02,0.98,0.0,0.03,0.96,0.01,0.01,0.99,0.0,0.0,1.0,0.0,0.15,0.78,0.07
82,0.04,0.95,0.01,0.03,0.96,0.01,0.04,0.95,0.01,0.08,0.91,0.01,0.07,0.87,0.06
83,0.04,0.96,0.0,0.08,0.9,0.02,0.02,0.98,0.0,0.0,1.0,0.0,0.05,0.93,0.02
84,0.03,0.97,0.0,0.06,0.93,0.01,0.02,0.98,0.0,0.06,0.93,0.01,0.03,0.96,0.01
85,0.04,0.95,0.01,0.06,0.93,0.01,0.04,0.95,0.01,0.15,0.84,0.01,0.1,0.88,0.02
86,0.04,0.95,0.01,0.06,0.93,0.01,0.06,0.92,0.02,0.05,0.95,0.0,0.06,0.92,0.02
87,0.04,0.94,0.02,0.04,0.95,0.01,0.04,0.95,0.01,0.02,0.98,0.0,0.06,0.92,0.02
88,0.06,0.94,0.0,0.06,0.93,0.01,0.04,0.95,0.01,0.01,0.98,0.01,0.04,0.95,0.01
89,0.06,0.93,0.01,0.04,0.95,0.01,0.03,0.96,0.01,0.16,0.81,0.03,0.05,0.94,0.01
90,0.04,0.92,0.04,0.02,0.98,0.0,0.02,0.97,0.01,0.21,0.67,0.12,0.07,0.92,0.01
91,0.08,0.91,0.01,0.04,0.95,0.01,0.03,0.96,0.01,0.0,1.0,0.0,0.05,0.94,0.01
92,0.06,0.93,0.01,0.06,0.93,0.01,0.05,0.94,0.01,0.21,0.67,0.12,0.1,0.87,0.03
93,0.05,0.94,0.01,0.05,0.94,0.01,0.03,0.97,0.0,0.2,0.71,0.09,0.04,0.95,0.01
94,0.06,0.92,0.02,0.05,0.94,0.01,0.01,0.99,0.0,0.2,0.71,0.09,0.04,0.95,0.01
95,0.05,0.94,0.01,0.03,0.96,0.01,0.02,0.97,0.01,0.0,1.0,0.0,0.07,0.91,0.02
96,0.03,0.97,0.0,0.04,0.96,0.0,0.0,1.0,0.0,0.21,0.67,0.12,0.02,0.98,0.0
97,0.05,0.94,0.01,0.06,0.93,0.01,0.01,0.98,0.01,0.01,0.99,0.0,0.21,0.67,0.12
98,0.11,0.84,0.05,0.04,0.95,0.01,0.05,0.94,0.01,0.0,1.0,0.0,0.07,0.91,0.02
