id,年,月,17業種コード,33業種コード,規模コード,売上高,収益,経常利益,営業利益,当期純利益,税引前利益,包括利益,純資産額,総資産額,現金及び現金同等物の期末残高,従業員数,最低株価,最高株価,株主総利回り,株主資本比率,株価収益率,発行済株式総数,自己資本利益率,自己資本比率,財務活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー,基本的1株当たり当期利益,基本的1株当たり親会社の所有者に帰属する当期利益,希薄化後１株当たり当期利益,希薄化後１株当たり当社株主に帰属する当期純利益,１株当たり当期純利益,１株当たり当社株主に帰属する当期純利益,１株当たり株主資本,１株当たり潜在株式調整後当期純利益金額,１株当たり純資産額,１株当たり親会社所有者帰属持分,１株当たり配当額親会社の所有者に帰属する当期利益,親会社の所有者に帰属する当期包括利益,親会社の所有者に帰属する持分,親会社所有者帰属持分当期利益率,親会社所有者帰属持分比率,親会社株主に帰属する当期純利益,資本金,配当性向
112,2018,3,12,5050,4,,255028.0,47145.0,,,,36664.0,366423.0,794712.0,24417.0,8903.0,,,15.9,,,,10.3,44.6,-19878.0,47952.0,-27023.0,,,,,,,,,,,,,,,,,,
112,2019,3,12,5050,4,,261553.0,50720.0,,,,39207.0,402901.0,853025.0,25018.0,9240.0,,,17.61,,,,10.4,45.7,7246.0,45851.0,-53430.0,,,,,,,,,,,,,,,,,,
113,2015,3,12,5050,4,,408039.0,31390.0,,,,25096.0,307726.0,782422.0,64724.0,12777.0,,,33.4,,,,5.8,39.3,-26281.0,51858.0,-32325.0,,,,,28.25,,,,,,,,,,,,,
113,2016,3,12,5050,4,,416254.0,35066.0,,,,9002.0,311818.0,820177.0,89180.0,12791.0,,,31.0,,,,6.3,38.0,25530.0,54247.0,-55323.0,,,,,31.89,,,,,,,,,,,,,
113,2017,3,12,5050,4,,418996.0,35285.0,,,,25626.0,332020.0,834682.0,56067.0,12925.0,,,25.4,,,,6.6,39.7,-16642.0,49440.0,-65908.0,,,,,173.35,,,,,,,,,,,,,
113,2018,3,12,5050,4,,434697.0,35728.0,,,,25747.0,352241.0,889135.0,64469.0,13040.0,,,23.2,,,,7.0,39.6,17384.0,62713.0,-71267.0,,,,,195.71,,,,,,,,,,,,,
113,2019,3,12,5050,4,,447508.0,39281.0,,,,21897.0,368022.0,889341.0,57934.0,13342.0,,,32.1,,,,7.6,41.3,-20376.0,60620.0,-47608.0,,,,,222.87,,,,,,,,,,,,,
114,2015,3,13,6050,2,1089064.0,5591435.0,,,295621.0,418515.0,464651.0,,8560701.0,700292.0,110487.0,,,6.88,28.42,,,,,-97896.0,403629.0,-276103.0,,189.13,,187.29,,,1539.55,,,,,465605.0,,,,,2748251.0,
114,2016,3,13,6050,2,1069711.0,5083536.0,,,276368.0,322749.0,-128659.0,,8036395.0,632871.0,105800.0,,,9.11,27.3,,,,,81770.0,419404.0,-557260.0,,152.14,,152.14,,,1388.66,,,,,-144777.0,,,,,2452055.0,
114,2017,3,13,6050,2,1093462.0,4838464.0,,,374593.0,499855.0,323365.0,,8122032.0,605589.0,95944.0,,,7.06,29.57,,,,,-335396.0,389693.0,-81306.0,,223.67,,223.67,,,1532.56,,,,,303063.0,,,,,2662811.0,
114,2018,3,13,6050,2,1210440.0,5510059.0,,,431720.0,537858.0,415602.0,,8663937.0,432140.0,102086.0,,,8.01,30.81,,,,,-296136.0,388212.0,-256350.0,,257.94,,257.94,,,1722.06,,,,,390022.0,,,,,2984351.0,
114,2019,3,13,6050,2,1563772.0,11600485.0,,,545689.0,695383.0,511586.0,,10098703.0,572030.0,119796.0,,,6.18,29.08,,,,,-538318.0,476551.0,201149.0,,324.07,,324.07,,,1930.47,,,,,464785.0,,,,,3690116.0,
115,2015,3,17,8050,2,806835.0,,139055.0,,,,137850.0,859538.0,4523804.0,150264.0,11855.0,,,25.44,,,,10.5,18.4,187814.0,35067.0,-220917.0,,,,,169.97,,,,,,,,,,,,,
115,2016,3,17,8050,2,854964.0,,148424.0,,,,71009.0,917277.0,4675914.0,185989.0,12116.0,,,17.78,,,,10.2,19.0,44980.0,96107.0,-105384.0,,,,,185.23,,,,,,,,,,,,,
115,2017,3,17,8050,2,925151.0,,167697.0,,,,133145.0,1039103.0,4980039.0,267943.0,12574.0,,,13.22,,,,10.9,20.2,197996.0,158507.0,-274161.0,,,,,218.34,,,,,,,,,,,,,
115,2018,3,17,8050,2,948402.0,,186870.0,,,,154088.0,1114975.0,5167198.0,262045.0,12934.0,,,15.58,,,,11.3,21.6,26461.0,189933.0,-220534.0,,,,,252.62,,,,,,,,,,,,,
115,2019,3,17,8050,2,1013229.0,,204257.0,,,,106495.0,1208116.0,5127464.0,170707.0,13238.0,,,16.61,,,,11.3,23.6,-146058.0,260057.0,-209212.0,,,,,276.02,,,,,,,,,,,,,
116,2017,3,4,3200,4,1939069.0,,,,109100.0,122338.0,120962.0,,2878193.0,193295.0,32536.0,,,13.29,,,,,,-523.0,185776.0,-205697.0,46.81,,46.77,,,,,,,496.96,,88258.0,812612.0,9.8,28.2,,,
116,2018,3,4,3200,4,2190509.0,,,,178158.0,240811.0,184561.0,,3068685.0,231929.0,31837.0,,,7.58,,,,,,-94264.0,293250.0,-154520.0,81.81,,81.77,,,,,,,567.04,,142421.0,927141.0,15.4,30.2,,,
116,2019,3,4,3200,4,2318572.0,,,,152466.0,188370.0,148146.0,,3171618.0,201678.0,32542.0,,,7.14,,,,,,-60866.0,208143.0,-180837.0,72.17,,72.12,,,,,,,610.82,,110448.0,998702.0,12.3,31.5,,,
117,2015,3,13,6050,2,952941.0,3762236.0,,,,,145989.0,,9021370.0,895875.0,75448.0,,,,,,,,,-74776.0,243695.0,-399586.0,-58.64,,-58.64,,,,,,,1988.62,,145989.0,2481432.0,-3.0,27.5,-73170.0,,
117,2016,3,13,6050,2,894057.0,4010808.0,,,,,-164394.0,,7817818.0,868755.0,66860.0,,,18.73,,,,,,-507157.0,599708.0,-85448.0,59.73,,59.69,,,,,,,1803.95,,-164394.0,2251509.0,3.2,28.8,74546.0,,
